Fragment Size,Count,Range,Group,BAM File
495,4,200-500,Normal,H7-plasma.bam
89382,4,>1000,Normal,H7-plasma.bam
55219,4,>1000,Normal,H7-plasma.bam
11800867,4,>1000,Normal,H7-plasma.bam
333,4,200-500,Normal,H7-plasma.bam
4963554,4,>1000,Normal,H7-plasma.bam
296,4,200-500,Normal,H7-plasma.bam
11801045,4,>1000,Normal,H7-plasma.bam
113268,4,>1000,Normal,H7-plasma.bam
50005,4,>1000,Normal,H7-plasma.bam
490276,4,>1000,Normal,H7-plasma.bam
4915705,4,>1000,Normal,H7-plasma.bam
215101,4,>1000,Normal,H7-plasma.bam
50008,4,>1000,Normal,H7-plasma.bam
759,4,500-1000,Normal,H7-plasma.bam
770756,4,>1000,Normal,H7-plasma.bam
770752,4,>1000,Normal,H7-plasma.bam
648819,4,>1000,Normal,H7-plasma.bam
43071,4,>1000,Normal,H7-plasma.bam
7776,4,>1000,Normal,H7-plasma.bam
395,4,200-500,Normal,H7-plasma.bam
913,4,500-1000,Normal,H7-plasma.bam
543130,4,>1000,Normal,H7-plasma.bam
7402,4,>1000,Normal,H7-plasma.bam
324142,4,>1000,Normal,H7-plasma.bam
503,4,500-1000,Normal,H7-plasma.bam
324154,4,>1000,Normal,H7-plasma.bam
12992,4,>1000,Normal,H7-plasma.bam
324144,4,>1000,Normal,H7-plasma.bam
1115,4,>1000,Normal,H7-plasma.bam
549182,4,>1000,Normal,H7-plasma.bam
3364002,4,>1000,Normal,H7-plasma.bam
549172,4,>1000,Normal,H7-plasma.bam
904,4,500-1000,Normal,H7-plasma.bam
35697,4,>1000,Normal,H7-plasma.bam
35819,4,>1000,Normal,H7-plasma.bam
319,4,200-500,Normal,H7-plasma.bam
276,4,200-500,Normal,H7-plasma.bam
7502,4,>1000,Normal,H7-plasma.bam
271,4,200-500,Normal,H7-plasma.bam
33153,4,>1000,Normal,H7-plasma.bam
383,4,200-500,Normal,H7-plasma.bam
543284,4,>1000,Normal,H7-plasma.bam
23487,4,>1000,Normal,H7-plasma.bam
11800908,4,>1000,Normal,H7-plasma.bam
883,4,500-1000,Normal,H7-plasma.bam
1090,4,>1000,Normal,H7-plasma.bam
11800902,4,>1000,Normal,H7-plasma.bam
